ti,elr
3.533077830188679439e-03,5.050843525976911330e-01
3.472405660377358722e-03,1.493866975713816325e+00
3.380778301886792556e-03,6.151638774609208937e+00
3.324233490566037667e-03,7.598606327722251308e+00
3.301945754716981325e-03,9.189730011909299279e+00
3.268101415094339796e-03,9.790969283149552282e+00
3.248290094339622951e-03,1.007066394595404901e+01
3.227240566037735923e-03,1.261587656592201512e+01
3.174804177545691945e-03,1.697384736592859866e+01
3.156005221932114968e-03,1.857665986235278766e+01
