ti,elrr
3.533077830188679439e-03,-3.217985894490149157e+00
3.472405660377358722e-03,-2.133588021948610969e+00
3.380778301886792556e-03,-7.182375519430967969e-01
3.324233490566037667e-03,-5.069912131363044638e-01
3.301945754716981325e-03,-3.168695082101899985e-01
3.268101415094339796e-03,-2.534956065681512882e-01
3.248290094339622951e-03,-2.253294280605794009e-01
3.227240566037735923e-03,0.000000000000000000e+00
3.174804177545691945e-03,2.967177035979292610e-01
3.156005221932114968e-03,3.869498809489282931e-01
