tem,gr
1.000000000000000000e+01,2.283565447100604009e-02
1.040404040404041552e+01,2.955561050776649504e-02
1.080808080808083105e+01,3.749159133354532103e-02
1.121212121212118973e+01,4.662696279987264825e-02
1.161616161616160525e+01,5.689698139696687529e-02
1.202020202020202078e+01,6.820044085305822235e-02
1.242424242424243630e+01,8.041455595712529436e-02
1.282828282828285182e+01,9.340957926754704654e-02
1.323232323232321050e+01,1.070607271377507080e-01
1.363636363636362603e+01,1.212563823190622864e-01
1.404040404040404155e+01,1.359026506290962888e-01
1.444444444444445708e+01,1.509249688768634634e-01
1.484848484848487260e+01,1.662676540772308476e-01
1.525252525252523128e+01,1.818922137697487618e-01
1.565656565656564680e+01,1.977750540284374803e-01
1.606060606060606233e+01,2.139050220615014986e-01
1.646464646464647785e+01,2.302810507453482425e-01
1.686868686868689338e+01,2.469100469622829697e-01
1.727272727272725206e+01,2.638050815557071993e-01
1.767676767676766758e+01,2.809838872641147178e-01
1.808080808080808310e+01,2.984676426324976983e-01
1.848484848484849863e+01,3.162800066504402041e-01
1.888888888888891415e+01,3.344463648193722882e-01
1.929292929292927283e+01,3.529932484689655703e-01
1.969696969696968836e+01,3.719478928323173283e-01
2.010101010101010388e+01,3.913379040758200866e-01
2.050505050505051940e+01,4.111910102724552485e-01
2.090909090909087809e+01,4.315348757401876179e-01
2.131313131313129361e+01,4.523969620366171673e-01
2.171717171717170913e+01,4.738044221506851894e-01
2.212121212121212466e+01,4.957840170849676098e-01
2.252525252525254018e+01,5.183620461359207399e-01
2.292929292929295571e+01,5.415642838296635952e-01
2.333333333333331439e+01,5.654159177264057590e-01
2.373737373737372991e+01,5.899414822366912947e-01
2.414141414141414543e+01,6.151647842509357922e-01
2.454545454545456096e+01,6.411088168178384894e-01
2.494949494949491964e+01,6.677956573549890251e-01
2.535353535353533516e+01,6.952463469627732096e-01
2.575757575757575069e+01,7.234807473649091936e-01
2.616161616161616621e+01,7.525173718281967794e-01
2.656565656565658173e+01,7.823731861321070458e-01
2.696969696969699726e+01,8.130633752706281081e-01
2.737373737373735594e+01,8.446010710773060870e-01
2.777777777777777146e+01,8.769970353691872722e-01
2.818181818181818699e+01,9.102592925027589432e-01
2.858585858585860251e+01,9.443927044238629165e-01
2.898989898989896119e+01,9.793984803650689352e-01
2.939393939393937671e+01,1.015273612299205208e+00
2.979797979797979224e+01,1.052010226087820133e+00
3.020202020202020776e+01,1.089594836973316827e+00
3.060606060606062329e+01,1.128007496655733410e+00
3.101010101010103881e+01,1.167220817682573797e+00
3.141414141414139749e+01,1.207198859289087878e+00
3.181818181818181301e+01,1.247895857195544966e+00
3.222222222222222854e+01,1.289254778266548662e+00
3.262626262626264406e+01,1.331205679459935398e+00
3.303030303030300274e+01,1.373663849288165206e+00
3.343434343434341827e+01,1.416527709285143821e+00
3.383838383838383379e+01,1.459676453014607356e+00
3.424242424242424931e+01,1.502967401365550293e+00
3.464646464646466484e+01,1.546233055818306834e+00
3.505050505050508036e+01,1.589277836763441698e+00
3.545454545454543904e+01,1.631874502813114525e+00
3.585858585858585457e+01,1.673760260668049060e+00
3.626262626262627009e+01,1.714632595170474838e+00
3.666666666666668561e+01,1.754144877873882180e+00
3.707070707070704429e+01,1.791901852465861200e+00
3.747474747474745982e+01,1.827455150023106656e+00
3.787878787878787534e+01,1.860299060216056732e+00
3.828282828282829087e+01,1.889866880561602791e+00
3.868686868686870639e+01,1.915528289099706294e+00
3.909090909090912191e+01,1.936588340276902631e+00
3.949494949494948060e+01,1.952288871316904206e+00
3.989898989898989612e+01,1.961813324847029971e+00
4.030303030303031164e+01,1.964296233319922758e+00
4.070707070707072717e+01,1.958838849530905035e+00
4.111111111111108585e+01,1.944532602963188195e+00
4.151515151515150137e+01,1.920492142653837053e+00
4.191919191919191690e+01,1.885899584015168218e+00
4.232323232323233242e+01,1.840061054728095780e+00
4.272727272727274794e+01,1.782475537523979359e+00
4.313131313131310662e+01,1.712914126374847079e+00
4.353535353535352215e+01,1.631504995542551573e+00
4.393939393939393767e+01,1.538815665941928090e+00
4.434343434343435320e+01,1.435919963492012119e+00
4.474747474747476872e+01,1.324433419649688082e+00
4.515151515151512740e+01,1.206499470584266209e+00
4.555555555555554292e+01,1.084711785077723922e+00
4.595959595959595845e+01,9.619670517774711049e-01
4.636363636363637397e+01,8.412573814714408016e-01
4.676767676767678950e+01,7.254288119226083298e-01
4.717171717171714818e+01,6.169459735580440363e-01
4.757575757575756370e+01,5.177060728490989749e-01
4.797979797979797922e+01,4.289348509797993869e-01
4.838383838383839475e+01,3.511762758963501430e-01
4.878787878787881027e+01,2.843647520232863712e-01
4.919191919191916895e+01,2.279523228266525092e-01
4.959595959595958448e+01,1.810581505263324231e-01
5.000000000000000000e+01,1.426123016552399425e-01
