tem,gr
1.000000000000000000e+01,1.292034584133957726e-08
1.040404040404041552e+01,3.174243204054658642e-08
1.080808080808083105e+01,7.658711493191990199e-08
1.121212121212118973e+01,1.814945646132257860e-07
1.161616161616160525e+01,4.224803511508704493e-07
1.202020202020202078e+01,9.661097796949629574e-07
1.242424242424243630e+01,2.170525529724756094e-06
1.282828282828285182e+01,4.791395457649604306e-06
1.323232323232321050e+01,1.039336269141816890e-05
1.363636363636362603e+01,2.215551001075703950e-05
1.404040404040404155e+01,4.641593689758233775e-05
1.444444444444445708e+01,9.557149172054374192e-05
1.484848484848487260e+01,1.934016760338100685e-04
1.525252525252523128e+01,3.846091722997016906e-04
1.565656565656564680e+01,7.514464563792939630e-04
1.606060606060606233e+01,1.441705528401599108e-03
1.646464646464647785e+01,2.713664283114378042e-03
1.686868686868689338e+01,5.003288783317918174e-03
1.727272727272725206e+01,9.013188589697289366e-03
1.767676767676766758e+01,1.580416674996459880e-02
1.808080808080808310e+01,2.683149230174462427e-02
1.848484848484849863e+01,4.382054180170467245e-02
1.888888888888891415e+01,6.838203209568069485e-02
1.929292929292927283e+01,1.014183386048879282e-01
1.969696969696968836e+01,1.426262272554615906e-01
2.010101010101010388e+01,1.904623133691522030e-01
2.050505050505051940e+01,2.426201095358637150e-01
2.090909090909087809e+01,2.966952539748586304e-01
2.131313131313129361e+01,3.506841139826006870e-01
2.171717171717170913e+01,4.031898282859421312e-01
2.212121212121212466e+01,4.534034003442473093e-01
2.252525252525254018e+01,5.009783343033658021e-01
2.292929292929295571e+01,5.458852467037969003e-01
2.333333333333331439e+01,5.882880052962133899e-01
2.373737373737372991e+01,6.284529406097303372e-01
2.414141414141414543e+01,6.666885161266272730e-01
2.454545454545456096e+01,7.033083520177609849e-01
2.494949494949491964e+01,7.386104480693616026e-01
2.535353535353533516e+01,7.728669008901275506e-01
2.575757575757575069e+01,8.063200413273149403e-01
2.616161616161616621e+01,8.391822698800420754e-01
2.656565656565658173e+01,8.716378559475179699e-01
2.696969696969699726e+01,9.038456403672008310e-01
2.737373737373735594e+01,9.359420195308006951e-01
2.777777777777777146e+01,9.680438655437410000e-01
2.818181818181818699e+01,1.000251205407870714e+00
2.858585858585860251e+01,1.032649581666883476e+00
2.898989898989896119e+01,1.065312073181379882e+00
2.939393939393937671e+01,1.098300984450434781e+00
2.979797979797979224e+01,1.131669225765314035e+00
3.020202020202020776e+01,1.165461411060335628e+00
3.060606060606062329e+01,1.199714699615597180e+00
3.101010101010103881e+01,1.234459404141970973e+00
3.141414141414139749e+01,1.269719382596952384e+00
3.181818181818181301e+01,1.305512225060114107e+00
3.222222222222222854e+01,1.341849240471223448e+00
3.262626262626264406e+01,1.378735241080757845e+00
3.303030303030300274e+01,1.416168115007881978e+00
3.343434343434341827e+01,1.454138169153399440e+00
3.383838383838383379e+01,1.492627215609838576e+00
3.424242424242424931e+01,1.531607364298978924e+00
3.464646464646466484e+01,1.571039472449117680e+00
3.505050505050508036e+01,1.610871187220400680e+00
3.545454545454543904e+01,1.651034500770266922e+00
3.585858585858585457e+01,1.691442716748597253e+00
3.626262626262627009e+01,1.731986703029651853e+00
3.666666666666668561e+01,1.772530276921619130e+00
3.707070707070704429e+01,1.812904535802171591e+00
3.747474747474745982e+01,1.852900908249746292e+00
3.787878787878787534e+01,1.892262659236682687e+00
3.828282828282829087e+01,1.930674540358885638e+00
3.868686868686870639e+01,1.967750237630826016e+00
3.909090909090912191e+01,2.003017244842320910e+00
3.949494949494948060e+01,2.035898797104011670e+00
3.989898989898989612e+01,2.065692566277033571e+00
4.030303030303031164e+01,2.091545995611493680e+00
4.070707070707072717e+01,2.112428512264574731e+00
4.111111111111108585e+01,2.127101523410124706e+00
4.151515151515150137e+01,2.134088254985343713e+00
4.191919191919191690e+01,2.131647391098931088e+00
4.232323232323233242e+01,2.117757463413583618e+00
4.272727272727274794e+01,2.090123429281835588e+00
4.313131313131310662e+01,2.046223204876921109e+00
4.353535353535352215e+01,1.983420013111262481e+00
4.393939393939393767e+01,1.899175000533343205e+00
4.434343434343435320e+01,1.791399702738129873e+00
4.474747474747476872e+01,1.658980548956464407e+00
4.515151515151512740e+01,1.502471277291195673e+00
4.555555555555554292e+01,1.324862070894821775e+00
4.595959595959595845e+01,1.132185771396499563e+00
4.636363636363637397e+01,9.335558361394349358e-01
4.676767676767678950e+01,7.402013965979132859e-01
4.717171717171714818e+01,5.633965593877620082e-01
4.757575757575756370e+01,4.118939223921543880e-01
4.797979797979797922e+01,2.900545681777198515e-01
4.838383838383839475e+01,1.976003220680029038e-01
4.878787878787881027e+01,1.308729499725010126e-01
4.919191919191916895e+01,8.466124469317212742e-02
4.959595959595958448e+01,5.369977721900940498e-02
5.000000000000000000e+01,3.349623247590650249e-02
