tem,gr
1.000000000000000000e+01,3.624627081157049346e-05
1.040404040404041552e+01,6.098546934509294158e-05
1.080808080808083105e+01,1.015214858714530893e-04
1.121212121212118973e+01,1.672077299337074445e-04
1.161616161616160525e+01,2.724625662399409571e-04
1.202020202020202078e+01,4.392143942255227231e-04
1.242424242424243630e+01,7.003375783215226016e-04
1.282828282828285182e+01,1.104350872905579886e-03
1.323232323232321050e+01,1.721621207455869326e-03
1.363636363636362603e+01,2.652175481223822615e-03
1.404040404040404155e+01,4.034883174077109891e-03
1.444444444444445708e+01,6.057125819834520593e-03
1.484848484848487260e+01,8.963040635719629959e-03
1.525252525252523128e+01,1.305709530659803809e-02
1.565656565656564680e+01,1.869855116146161567e-02
1.606060606060606233e+01,2.628223940275073098e-02
1.646464646464647785e+01,3.620325138489228350e-02
1.686868686868689338e+01,4.880828119388064268e-02
1.727272727272725206e+01,6.434316881390235443e-02
1.767676767676766758e+01,8.291102285998326604e-02
1.808080808080808310e+01,1.044541833043269169e-01
1.848484848484849863e+01,1.287655448011427450e-01
1.888888888888891415e+01,1.555244390402376331e-01
1.929292929292927283e+01,1.843451129215473994e-01
1.969696969696968836e+01,2.148248017087043271e-01
2.010101010101010388e+01,2.465822384376696319e-01
2.050505050505051940e+01,2.792828538913112446e-01
2.090909090909087809e+01,3.126512470335554017e-01
2.131313131313129361e+01,3.464737909670287941e-01
2.171717171717170913e+01,3.805947905646316909e-01
2.212121212121212466e+01,4.149091615182384785e-01
2.252525252525254018e+01,4.493537930263724056e-01
2.292929292929295571e+01,4.838989637902869068e-01
2.333333333333331439e+01,5.185405590365523842e-01
2.373737373737372991e+01,5.532934105242126588e-01
2.414141414141414543e+01,5.881858205070303880e-01
2.454545454545456096e+01,6.232551884182830904e-01
2.494949494949491964e+01,6.585445941079617338e-01
2.535353535353533516e+01,6.941001725354332130e-01
2.575757575757575069e+01,7.299691207700964579e-01
2.616161616161616621e+01,7.661981957270240784e-01
2.656565656565658173e+01,8.028325825451059217e-01
2.696969696969699726e+01,8.399150347385840876e-01
2.737373737373735594e+01,8.774852062320764867e-01
2.777777777777777146e+01,9.155791113796144520e-01
2.818181818181818699e+01,9.542286619902664579e-01
2.858585858585860251e+01,9.934612404877384284e-01
2.898989898989896119e+01,1.033299275978737164e+00
2.939393939393937671e+01,1.073759795598576039e+00
2.979797979797979224e+01,1.114853927389599875e+00
3.020202020202020776e+01,1.156586333471690820e+00
3.060606060606062329e+01,1.198954553634952180e+00
3.101010101010103881e+01,1.241948239931721210e+00
3.141414141414139749e+01,1.285548262539921938e+00
3.181818181818181301e+01,1.329725666246007743e+00
3.222222222222222854e+01,1.374440455482752288e+00
3.262626262626264406e+01,1.419640184064656419e+00
3.303030303030300274e+01,1.465258323729947687e+00
3.343434343434341827e+01,1.511212383470479148e+00
3.383838383838383379e+01,1.557401749633144039e+00
3.424242424242424931e+01,1.603705215178547805e+00
3.464646464646466484e+01,1.649978165710020095e+00
3.505050505050508036e+01,1.696049390486480180e+00
3.545454545454543904e+01,1.741717489412893949e+00
3.585858585858585457e+01,1.786746853066495833e+00
3.626262626262627009e+01,1.830863203653132265e+00
3.666666666666668561e+01,1.873748702489046458e+00
3.707070707070704429e+01,1.915036656863793985e+00
3.747474747474745982e+01,1.954305899630542243e+00
3.787878787878787534e+01,1.991074973238046830e+00
3.828282828282829087e+01,2.024796332093502294e+00
3.868686868686870639e+01,2.054850890364483984e+00
3.909090909090912191e+01,2.080543394988125350e+00
3.949494949494948060e+01,2.101099304845964522e+00
3.989898989898989612e+01,2.115664115283421243e+00
4.030303030303031164e+01,2.123306387650556903e+00
4.070707070707072717e+01,2.123026123977961532e+00
4.111111111111108585e+01,2.113770549287935729e+00
4.151515151515150137e+01,2.094459783021240806e+00
4.191919191919191690e+01,2.064025206254630262e+00
4.232323232323233242e+01,2.021463404992655200e+00
4.272727272727274794e+01,1.965908142717300189e+00
4.313131313131310662e+01,1.896721533414136740e+00
4.353535353535352215e+01,1.813603010666333226e+00
4.393939393939393767e+01,1.716710394343811119e+00
4.434343434343435320e+01,1.606781167377621555e+00
4.474747474747476872e+01,1.485234477795339902e+00
4.515151515151512740e+01,1.354227071578532726e+00
4.555555555555554292e+01,1.216632642776501516e+00
4.595959595959595845e+01,1.075918509181958083e+00
4.636363636363637397e+01,9.359100184147502999e-01
4.676767676767678950e+01,8.004615208893691713e-01
4.717171717171714818e+01,6.730856093542381124e-01
4.757575757575756370e+01,5.566152897071992012e-01
4.797979797979797922e+01,4.529726429255084841e-01
4.838383838383839475e+01,3.630887090675135598e-01
4.878787878787881027e+01,2.869745900209342837e-01
4.919191919191916895e+01,2.239037933067105635e-01
4.959595959595958448e+01,1.726466237190217023e-01
5.000000000000000000e+01,1.317015394244353543e-01
