tem,gr
1.000000000000000000e+01,1.958737040074469068e-02
1.040404040404041552e+01,2.544125710984070088e-02
1.080808080808083105e+01,3.238650586637498857e-02
1.121212121212118973e+01,4.041983941998197882e-02
1.161616161616160525e+01,4.949594094019313384e-02
1.202020202020202078e+01,5.953688761766033621e-02
1.242424242424243630e+01,7.044463176625104239e-02
1.282828282828285182e+01,8.211351852484120861e-02
1.323232323232321050e+01,9.444069720246391075e-02
1.363636363636362603e+01,1.073334551793716646e-01
1.404040404040404155e+01,1.207134640032954120e-01
1.444444444444445708e+01,1.345184813422365122e-01
1.484848484848487260e+01,1.487022417936120222e-01
1.525252525252523128e+01,1.632332281823882791e-01
1.565656565656564680e+01,1.780928699768652146e-01
1.606060606060606233e+01,1.932735505759671513e-01
1.646464646464647785e+01,2.087766621957571622e-01
1.686868686868689338e+01,2.246108394998699020e-01
1.727272727272725206e+01,2.407904298900803153e-01
1.767676767676766758e+01,2.573342126873477409e-01
1.808080808080808310e+01,2.742643535444346803e-01
1.848484848484849863e+01,2.916055676906975092e-01
1.888888888888891415e+01,3.093844610131259998e-01
1.929292929292927283e+01,3.276290180596220236e-01
1.969696969696968836e+01,3.463682085559344204e-01
2.010101010101010388e+01,3.656316875639964437e-01
2.050505050505051940e+01,3.854495681735009005e-01
2.090909090909087809e+01,4.058522491753506767e-01
2.131313131313129361e+01,4.268702833123790286e-01
2.171717171717170913e+01,4.485342743690257650e-01
2.212121212121212466e+01,4.708747935504137838e-01
2.252525252525254018e+01,4.939223073495669358e-01
2.292929292929295571e+01,5.177071104648400812e-01
2.333333333333331439e+01,5.422592583599253890e-01
2.373737373737372991e+01,5.676084948105214467e-01
2.414141414141414543e+01,5.937841702968249535e-01
2.454545454545456096e+01,6.208151474170431339e-01
2.494949494949491964e+01,6.487296896440415406e-01
2.535353535353533516e+01,6.775553297449966594e-01
2.575757575757575069e+01,7.073187140514167748e-01
2.616161616161616621e+01,7.380454185123088706e-01
2.656565656565658173e+01,7.697597320942913823e-01
2.696969696969699726e+01,8.024844026105755201e-01
2.737373737373735594e+01,8.362403394655496536e-01
2.777777777777777146e+01,8.710462670895366966e-01
2.818181818181818699e+01,9.069183220021964642e-01
2.858585858585860251e+01,9.438695854786443018e-01
2.898989898989896119e+01,9.819095426872018750e-01
2.939393939393937671e+01,1.021043457919283082e+00
2.979797979797979224e+01,1.061271654127595054e+00
3.020202020202020776e+01,1.102588683429743588e+00
3.060606060606062329e+01,1.144982373519097152e+00
3.101010101010103881e+01,1.188432733062769087e+00
3.141414141414139749e+01,1.232910697181478943e+00
3.181818181818181301e+01,1.278376692034801199e+00
3.222222222222222854e+01,1.324778995447700725e+00
3.262626262626264406e+01,1.372051868508769701e+00
3.303030303030300274e+01,1.420113431304808715e+00
3.343434343434341827e+01,1.468863254648214545e+00
3.383838383838383379e+01,1.518179639128252933e+00
3.424242424242424931e+01,1.567916553508984734e+00
3.464646464646466484e+01,1.617900207030617654e+00
3.505050505050508036e+01,1.667925235369578374e+00
3.545454545454543904e+01,1.717750489004113756e+00
3.585858585858585457e+01,1.767094427005511559e+00
3.626262626262627009e+01,1.815630140756776090e+00
3.666666666666668561e+01,1.862980063319350066e+00
3.707070707070704429e+01,1.908710464242208138e+00
3.747474747474745982e+01,1.952325890453374235e+00
3.787878787878787534e+01,1.993263796087597406e+00
3.828282828282829087e+01,2.030889712941246206e+00
3.868686868686870639e+01,2.064493454228589986e+00
3.909090909090912191e+01,2.093287022449411339e+00
3.949494949494948060e+01,2.116405110576704995e+00
3.989898989898989612e+01,2.132909343201948804e+00
4.030303030303031164e+01,2.141797691131393844e+00
4.070707070707072717e+01,2.142020785512768644e+00
4.111111111111108585e+01,2.132507109454545358e+00
4.151515151515150137e+01,2.112199176677887813e+00
4.191919191919191690e+01,2.080102693360572186e+00
4.232323232323233242e+01,2.035350162643569050e+00
4.272727272727274794e+01,1.977279201967678590e+00
4.313131313131310662e+01,1.905523750794339666e+00
4.353535353535352215e+01,1.820113156213602590e+00
4.393939393939393767e+01,1.721569849157956078e+00
4.434343434343435320e+01,1.610991410672804047e+00
4.474747474747476872e+01,1.490098408482100290e+00
4.515151515151512740e+01,1.361227400181988845e+00
4.555555555555554292e+01,1.227251416615902535e+00
4.595959595959595845e+01,1.091420078339128352e+00
4.636363636363637397e+01,9.571282201078257224e-01
4.676767676767678950e+01,8.276419025747860925e-01
4.717171717171714818e+01,7.058268858035048332e-01
4.757575757575756370e+01,5.939292081186549055e-01
4.797979797979797922e+01,4.934465292916855317e-01
4.838383838383839475e+01,4.051056169355178316e-01
4.878787878787881027e+01,3.289350802270611385e-01
4.919191919191916895e+01,2.644032556406490375e-01
4.959595959595958448e+01,2.105844155758650194e-01
5.000000000000000000e+01,1.663211750311449355e-01
