tem,gr
1.000000000000000000e+01,2.957619815703205338e-08
1.040404040404041552e+01,7.046972049173306460e-08
1.080808080808083105e+01,1.650027194194617517e-07
1.121212121212118973e+01,3.797076625230556489e-07
1.161616161616160525e+01,8.588518391840200700e-07
1.202020202020202078e+01,1.909580990322703640e-06
1.242424242424243630e+01,4.173959373583962391e-06
1.282828282828285182e+01,8.969874835197688768e-06
1.323232323232321050e+01,1.895341183557488246e-05
1.363636363636362603e+01,3.938046224967893576e-05
1.404040404040404155e+01,8.046121159280866428e-05
1.444444444444445708e+01,1.616617850295907404e-04
1.484848484848487260e+01,3.193855817449861058e-04
1.525252525252523128e+01,6.203391990686506945e-04
1.565656565656564680e+01,1.184070194520121539e-03
1.606060606060606233e+01,2.219416016201936157e-03
1.646464646464647785e+01,4.079938061177764211e-03
1.686868686868689338e+01,7.340107940670265868e-03
1.727272727272725206e+01,1.288137228191561096e-02
1.767676767676766758e+01,2.194767658391860721e-02
1.808080808080808310e+01,3.608530549031346152e-02
1.848484848484849863e+01,5.686095749619383966e-02
1.888888888888891415e+01,8.534168077300666178e-02
1.929292929292927283e+01,1.215490191817150817e-01
1.969696969696968836e+01,1.642595607752721787e-01
2.010101010101010388e+01,2.113341869904183934e-01
2.050505050505051940e+01,2.603579858480895570e-01
2.090909090909087809e+01,3.092098396346254496e-01
2.131313131313129361e+01,3.563527530890530648e-01
2.171717171717170913e+01,4.008653502819499170e-01
2.212121212121212466e+01,4.423313877606669386e-01
2.252525252525254018e+01,4.806892205725365463e-01
2.292929292929295571e+01,5.160962718775473634e-01
2.333333333333331439e+01,5.488271154124708673e-01
2.373737373737372991e+01,5.792049334689225448e-01
2.414141414141414543e+01,6.075593350920066582e-01
2.454545454545456096e+01,6.342026930923946315e-01
2.494949494949491964e+01,6.594185265497600756e-01
2.535353535353533516e+01,6.834572416762643154e-01
2.575757575757575069e+01,7.065360860814090538e-01
2.616161616161616621e+01,7.288413160480220476e-01
2.656565656565658173e+01,7.505313605932716348e-01
2.696969696969699726e+01,7.717402765866506753e-01
2.737373737373735594e+01,7.925811091098924344e-01
2.777777777777777146e+01,8.131489650912439027e-01
2.818181818181818699e+01,8.335237215893075424e-01
2.858585858585860251e+01,8.537723534327805730e-01
2.898989898989896119e+01,8.739508979422279111e-01
2.939393939393937671e+01,8.941060895921774110e-01
2.979797979797979224e+01,9.142767023721136699e-01
3.020202020202020776e+01,9.344946369121539531e-01
3.060606060606062329e+01,9.547857858873131098e-01
3.101010101010103881e+01,9.751707063726122726e-01
3.141414141414139749e+01,9.956651225472215039e-01
3.181818181818181301e+01,1.016280276866767585e+00
3.222222222222222854e+01,1.037023142715926216e+00
3.262626262626264406e+01,1.057896506641226031e+00
3.303030303030300274e+01,1.078898923486488082e+00
3.343434343434341827e+01,1.100024542991523857e+00
3.383838383838383379e+01,1.121262801521958119e+00
3.424242424242424931e+01,1.142597967393010672e+00
3.464646464646466484e+01,1.164008522538658275e+00
3.505050505050508036e+01,1.185466356832403534e+00
3.545454545454543904e+01,1.206935743943848172e+00
3.585858585858585457e+01,1.228372058948117074e+00
3.626262626262627009e+01,1.249720187700545715e+00
3.666666666666668561e+01,1.270912565967052377e+00
3.707070707070704429e+01,1.291866772185515710e+00
3.747474747474745982e+01,1.312482581357019784e+00
3.787878787878787534e+01,1.332638368922630434e+00
3.828282828282829087e+01,1.352186732935349189e+00
3.868686868686870639e+01,1.370949181394010674e+00
3.909090909090912191e+01,1.388709711380459844e+00
3.949494949494948060e+01,1.405207091623075666e+00
3.989898989898989612e+01,1.420125657358078941e+00
4.030303030303031164e+01,1.433084447826841190e+00
4.070707070707072717e+01,1.443624582163532066e+00
4.111111111111108585e+01,1.451194910386081727e+00
4.151515151515150137e+01,1.455136242178325379e+00
4.191919191919191690e+01,1.454664922346064815e+00
4.232323232323233242e+01,1.448857298558550166e+00
4.272727272727274794e+01,1.436637867844152705e+00
4.313131313131310662e+01,1.416775789717982459e+00
4.353535353535352215e+01,1.387897227548800627e+00
4.393939393939393767e+01,1.348524759512776505e+00
4.434343434343435320e+01,1.297159706223242281e+00
4.474747474747476872e+01,1.232427656479046840e+00
4.515151515151512740e+01,1.153308997508831313e+00
4.555555555555554292e+01,1.059469049600336499e+00
4.595959595959595845e+01,9.516765398612807569e-01
4.636363636363637397e+01,8.322426896362656867e-01
4.676767676767678950e+01,7.053236014967638745e-01
4.717171717171714818e+01,5.768395203140100902e-01
4.757575757575756370e+01,4.537735178896863397e-01
4.797979797979797922e+01,3.428438281493014772e-01
4.838383838383839475e+01,2.489757439302323072e-01
4.878787878787881027e+01,1.742958442157016008e-01
4.919191919191916895e+01,1.181381053998423053e-01
4.959595959595958448e+01,7.790952773738120396e-02
5.000000000000000000e+01,5.021994896464144348e-02
