tem,gr
1.000000000000000000e+01,1.791904001488048293e-02
1.040404040404041552e+01,2.319867625939969411e-02
1.080808080808083105e+01,2.943599973302932563e-02
1.121212121212118973e+01,3.661873551305237090e-02
1.161616161616160525e+01,4.469679661335052706e-02
1.202020202020202078e+01,5.359138342370763086e-02
1.242424242424243630e+01,6.320664324908335796e-02
1.282828282828285182e+01,7.344113952395305012e-02
1.323232323232321050e+01,8.419722412108708587e-02
1.363636363636362603e+01,9.538749610144373059e-02
1.404040404040404155e+01,1.069384021257730188e-01
1.444444444444445708e+01,1.187915217019816227e-01
1.484848484848487260e+01,1.309032335192674701e-01
1.525252525252523128e+01,1.432434053900358828e-01
1.565656565656564680e+01,1.557936074158582929e-01
1.606060606060606233e+01,1.685451917530113308e-01
1.646464646464647785e+01,1.814974494681060035e-01
1.686868686868689338e+01,1.946559565087318255e-01
1.727272727272725206e+01,2.080311547674073003e-01
1.767676767676766758e+01,2.216371737254153040e-01
1.808080808080808310e+01,2.354908757909399963e-01
1.848484848484849863e+01,2.496110979477976222e-01
1.888888888888891415e+01,2.640180590731237564e-01
1.929292929292927283e+01,2.787329030954395215e-01
1.969696969696968836e+01,2.937773510120396669e-01
2.010101010101010388e+01,3.091734384271355718e-01
2.050505050505051940e+01,3.249433190083189094e-01
2.090909090909087809e+01,3.411091177200243352e-01
2.131313131313129361e+01,3.576928207169881024e-01
2.171717171717170913e+01,3.747161913223333030e-01
2.212121212121212466e+01,3.922007035906792116e-01
2.252525252525254018e+01,4.101674866111380546e-01
2.292929292929295571e+01,4.286372739966730072e-01
2.333333333333331439e+01,4.476303539886121174e-01
2.373737373737372991e+01,4.671665163321198633e-01
2.414141414141414543e+01,4.872649925919854685e-01
2.454545454545456096e+01,5.079443869152959756e-01
2.494949494949491964e+01,5.292225944379296276e-01
2.535353535353533516e+01,5.511167045959031174e-01
2.575757575757575069e+01,5.736428865594294102e-01
2.616161616161616621e+01,5.968162538668245753e-01
2.656565656565658173e+01,6.206507051061894709e-01
2.696969696969699726e+01,6.451587371788513048e-01
2.737373737373735594e+01,6.703512272819961426e-01
2.777777777777777146e+01,6.962371792682178206e-01
2.818181818181818699e+01,7.228234294737243548e-01
2.858585858585860251e+01,7.501143064536546223e-01
2.898989898989896119e+01,7.781112383150455836e-01
2.939393939393937671e+01,8.068123004961622602e-01
2.979797979797979224e+01,8.362116958978791370e-01
3.020202020202020776e+01,8.662991582323761319e-01
3.060606060606062329e+01,8.970592683182622151e-01
3.101010101010103881e+01,9.284706718294309935e-01
3.141414141414139749e+01,9.605051857183284358e-01
3.181818181818181301e+01,9.931267792134018668e-01
3.222222222222222854e+01,1.026290413990395445e+00
3.262626262626264406e+01,1.059940726913290110e+00
3.303030303030300274e+01,1.094010537751849865e+00
3.343434343434341827e+01,1.128419163670309144e+00
3.383838383838383379e+01,1.163070522284401775e+00
3.424242424242424931e+01,1.197851006016461550e+00
3.464646464646466484e+01,1.232627112791382817e+00
3.505050505050508036e+01,1.267242822396505986e+00
3.545454545454543904e+01,1.301516714876909120e+00
3.585858585858585457e+01,1.335238838203276268e+00
3.626262626262627009e+01,1.368167348480009426e+00
3.666666666666668561e+01,1.400024968915851931e+00
3.707070707070704429e+01,1.430495345806639840e+00
3.747474747474745982e+01,1.459219423561373574e+00
3.787878787878787534e+01,1.485792019446620982e+00
3.828282828282829087e+01,1.509758855736285321e+00
3.868686868686870639e+01,1.530614405933920175e+00
3.909090909090912191e+01,1.547801035795436597e+00
3.949494949494948060e+01,1.560710070643439584e+00
3.989898989898989612e+01,1.568685596310505082e+00
4.030303030303031164e+01,1.571031994265457810e+00
4.070707070707072717e+01,1.567026404266049333e+00
4.111111111111108585e+01,1.555937466374906597e+00
4.151515151515150137e+01,1.537051761351584833e+00
4.191919191919191690e+01,1.509709256224478491e+00
4.232323232323233242e+01,1.473348645861251027e+00
4.272727272727274794e+01,1.427562604000153224e+00
4.313131313131310662e+01,1.372161450012273853e+00
4.353535353535352215e+01,1.307241477632889115e+00
4.393939393939393767e+01,1.233251207711162589e+00
4.434343434343435320e+01,1.151045456314928161e+00
4.474747474747476872e+01,1.061914169402312202e+00
4.515151515151512740e+01,9.675718344931494297e-01
4.555555555555554292e+01,8.700956402532777911e-01
4.595959595959595845e+01,7.718077559338362148e-01
4.636363636363637397e+01,6.751089923866013809e-01
4.676767676767678950e+01,5.822850320285810621e-01
4.717171717171714818e+01,4.953173485767183859e-01
4.757575757575756370e+01,4.157334824517504024e-01
4.797979797979797922e+01,3.445229653280489912e-01
4.838383838383839475e+01,2.821284423005919195e-01
4.878787878787881027e+01,2.285030949210553886e-01
4.919191919191916895e+01,1.832123434911865634e-01
4.959595959595958448e+01,1.455535947333208568e-01
5.000000000000000000e+01,1.146715697172736581e-01
