tem,gr
1.000000000000000000e+01,1.346762643573132523e-01
1.040404040404041552e+01,1.404958349585506416e-01
1.080808080808083105e+01,1.465492344691921300e-01
1.121212121212118973e+01,1.528451272512043324e-01
1.161616161616160525e+01,1.593924706090721899e-01
1.202020202020202078e+01,1.662005236982353751e-01
1.242424242424243630e+01,1.732788566722473500e-01
1.282828282828285182e+01,1.806373600741098817e-01
1.323232323232321050e+01,1.882862544773469260e-01
1.363636363636362603e+01,1.962361003824852623e-01
1.404040404040404155e+01,2.044978083746939179e-01
1.444444444444445708e+01,2.130826495484661187e-01
1.484848484848487260e+01,2.220022662053182105e-01
1.525252525252523128e+01,2.312686828305830777e-01
1.565656565656564680e+01,2.408943173554974060e-01
1.606060606060606233e+01,2.508919927108741454e-01
1.646464646464647785e+01,2.612749486787940834e-01
1.686868686868689338e+01,2.720568540488223497e-01
1.727272727272725206e+01,2.832518190853985929e-01
1.767676767676766758e+01,2.948744083131683569e-01
1.808080808080808310e+01,3.069396536271016274e-01
1.848484848484849863e+01,3.194630677344170722e-01
1.888888888888891415e+01,3.324606579354115743e-01
1.929292929292927283e+01,3.459489402504187794e-01
1.969696969696968836e+01,3.599449539002767540e-01
2.010101010101010388e+01,3.744662761477419166e-01
2.050505050505051940e+01,3.895310375074906295e-01
2.090909090909087809e+01,4.051579373324252220e-01
2.131313131313129361e+01,4.213662597841434376e-01
2.171717171717170913e+01,4.381758901955341567e-01
2.212121212121212466e+01,4.556073318336728017e-01
2.252525252525254018e+01,4.736817230712086491e-01
2.292929292929295571e+01,4.924208549746709740e-01
2.333333333333331439e+01,5.118471893181831822e-01
2.373737373737372991e+01,5.319838770312720344e-01
2.414141414141414543e+01,5.528547770895259061e-01
2.454545454545456096e+01,5.744844758570760712e-01
2.494949494949491964e+01,5.968983068899514910e-01
2.535353535353533516e+01,6.201223712095427221e-01
2.575757575757575069e+01,6.441835580554884366e-01
2.616161616161616621e+01,6.691095661275661133e-01
2.656565656565658173e+01,6.949289253261707877e-01
2.696969696969699726e+01,7.216710190012204373e-01
2.737373737373735594e+01,7.493661067194201664e-01
2.777777777777777146e+01,7.780453475600129787e-01
2.818181818181818699e+01,8.077408239492002151e-01
2.858585858585860251e+01,8.384855660437542380e-01
2.898989898989896119e+01,8.703135766742599033e-01
2.939393939393937671e+01,9.032598568588140475e-01
2.979797979797979224e+01,9.373604318979676941e-01
3.020202020202020776e+01,9.726523780620153214e-01
3.060606060606062329e+01,1.009173849881792373e+00
3.101010101010103881e+01,1.046964108054357689e+00
3.141414141414139749e+01,1.086063547975070431e+00
3.181818181818181301e+01,1.126513728907784229e+00
3.222222222222222854e+01,1.168357403804940464e+00
3.262626262626264406e+01,1.211638549789681329e+00
3.303030303030300274e+01,1.256402399312113394e+00
3.343434343434341827e+01,1.302695471992102005e+00
3.383838383838383379e+01,1.350565607161124060e+00
3.424242424242424931e+01,1.400061997115905177e+00
3.464646464646466484e+01,1.451235221096719652e+00
3.505050505050508036e+01,1.504137280003452037e+00
3.545454545454543904e+01,1.558821631862534307e+00
3.585858585858585457e+01,1.615343228058416125e+00
3.626262626262627009e+01,1.673758550342844265e+00
3.666666666666668561e+01,1.734125648636082762e+00
3.707070707070704429e+01,1.796504179633733767e+00
3.747474747474745982e+01,1.860955446233574451e+00
3.787878787878787534e+01,1.927542437796482933e+00
3.828282828282829087e+01,1.996329871256226740e+00
3.868686868686870639e+01,2.067384233092649293e+00
3.909090909090912191e+01,2.140773822183277275e+00
3.949494949494948060e+01,2.216568793548303162e+00
3.989898989898989612e+01,2.294841203004478913e+00
4.030303030303031164e+01,2.375665052743042072e+00
4.070707070707072717e+01,2.459116337847714995e+00
4.111111111111108585e+01,2.545273093768390726e+00
4.151515151515150137e+01,2.634215444766845771e+00
4.191919191919191690e+01,2.726025653350293787e+00
4.232323232323233242e+01,2.820788170709858100e+00
4.272727272727274794e+01,2.918589688180141195e+00
4.313131313131310662e+01,3.019519189736993958e+00
4.353535353535352215e+01,3.123668005550609639e+00
4.393939393939393767e+01,3.231129866610998658e+00
4.434343434343435320e+01,3.342000960443608282e+00
4.474747474747476872e+01,3.456379987932687747e+00
4.515151515151512740e+01,3.574368221270180168e+00
4.555555555555554292e+01,3.696069563048564710e+00
4.595959595959595845e+01,3.821590606515562705e+00
4.636363636363637397e+01,3.951040697009730707e+00
4.676767676767678950e+01,4.084531994595319127e+00
4.717171717171714818e+01,4.222179537915537573e+00
4.757575757575756370e+01,4.364101309283547003e+00
4.797979797979797922e+01,4.510418301030192367e+00
4.838383838383839475e+01,4.661254583128537909e+00
4.878787878787881027e+01,4.816737372114847204e+00
4.919191919191916895e+01,4.976997101326086081e+00
4.959595959595958448e+01,5.142167492474237100e+00
5.000000000000000000e+01,5.312385628577933616e+00
