tem,k
1.000000000000000000e+01,1.378705102078171318e+00
1.040404040404041552e+01,1.028989775332753487e+00
1.080808080808083105e+01,7.738217966849378904e-01
1.121212121212118973e+01,5.863310510930812569e-01
1.161616161616160525e+01,4.476089847351873430e-01
1.202020202020202078e+01,3.442632822493739142e-01
1.242424242424243630e+01,2.667477590323348857e-01
1.282828282828285182e+01,2.082146521840975706e-01
1.323232323232321050e+01,1.637210835191130198e-01
1.363636363636362603e+01,1.296770845311492615e-01
1.404040404040404155e+01,1.034593563360830942e-01
1.444444444444445708e+01,8.313940712411446721e-02
1.484848484848487260e+01,6.729108169465954081e-02
1.525252525252523128e+01,5.485351438830162601e-02
1.565656565656564680e+01,4.503299169360835963e-02
1.606060606060606233e+01,3.723228365738715656e-02
1.646464646464647785e+01,3.099947412823017209e-02
1.686868686868689338e+01,2.599070760575995093e-02
1.727272727272725206e+01,2.194292188922400411e-02
1.767676767676766758e+01,1.865378393892259609e-02
1.808080808080808310e+01,1.596684888965657287e-02
1.848484848484849863e+01,1.376052596205332157e-02
1.888888888888891415e+01,1.193983313505967737e-02
1.929292929292927283e+01,1.043020497746907811e-02
1.969696969696968836e+01,9.172819539561479288e-03
2.010101010101010388e+01,8.121054622516832300e-03
2.050505050505051940e+01,7.237787745525441595e-03
2.090909090909087809e+01,6.493329385912445170e-03
2.131313131313129361e+01,5.863833777986889907e-03
2.171717171717170913e+01,5.330071515299027868e-03
2.212121212121212466e+01,4.876477519793567285e-03
2.252525252525254018e+01,4.490409550980606519e-03
2.292929292929295571e+01,4.161568427019877829e-03
2.333333333333331439e+01,3.881543027639298288e-03
2.373737373737372991e+01,3.643452036212975476e-03
2.414141414141414543e+01,3.441661046944237065e-03
2.454545454545456096e+01,3.271558689595939744e-03
2.494949494949491964e+01,3.129379230764242192e-03
2.535353535353533516e+01,3.012062008069684490e-03
2.575757575757575069e+01,2.917140270893423502e-03
2.616161616161616621e+01,2.842653709015471875e-03
2.656565656565658173e+01,2.787080275642263294e-03
2.696969696969699726e+01,2.749283949500992089e-03
2.737373737373735594e+01,2.728475904186210884e-03
2.777777777777777146e+01,2.724187217213968042e-03
2.818181818181818699e+01,2.736251799327122595e-03
2.858585858585860251e+01,2.764798690491131888e-03
2.898989898989896119e+01,2.810253280788888638e-03
2.939393939393937671e+01,2.873347395462249373e-03
2.979797979797979224e+01,2.955138555130213882e-03
3.020202020202020776e+01,3.057039104610455825e-03
3.060606060606062329e+01,3.180856317368665337e-03
3.101010101010103881e+01,3.328845049498594007e-03
3.141414141414139749e+01,3.503775062370098874e-03
3.181818181818181301e+01,3.709015786697389492e-03
3.222222222222222854e+01,3.948642099137213667e-03
3.262626262626264406e+01,4.227565671554159472e-03
3.303030303030300274e+01,4.551697690489311943e-03
3.343434343434341827e+01,4.928150304694444220e-03
3.383838383838383379e+01,5.365486137296382636e-03
3.424242424242424931e+01,5.874027721157921988e-03
3.464646464646466484e+01,6.466241942925276230e-03
3.505050505050508036e+01,7.157218725976050022e-03
3.545454545454543904e+01,7.965268523459689831e-03
3.585858585858585457e+01,8.912670097031448121e-03
3.626262626262627009e+01,1.002660901081496407e-02
3.666666666666668561e+01,1.134035891540959191e-02
3.707070707070704429e+01,1.289477288986344040e-02
3.747474747474745982e+01,1.474017198811335312e-02
3.787878787878787534e+01,1.693874422451804168e-02
3.828282828282829087e+01,1.956760157181604287e-02
3.868686868686870639e+01,2.272268787773459864e-02
3.909090909090912191e+01,2.652379063434563700e-02
3.949494949494948060e+01,3.112098925921708004e-02
3.989898989898989612e+01,3.670297875087191741e-02
4.030303030303031164e+01,4.350784949177307487e-02
4.070707070707072717e+01,5.183709416610594173e-02
4.111111111111108585e+01,6.207386845302347717e-02
4.151515151515150137e+01,7.470687695747758872e-02
4.191919191919191690e+01,9.036172224133535991e-02
4.232323232323233242e+01,1.098421876558112464e-01
4.272727272727274794e+01,1.341847860216349997e-01
4.313131313131310662e+01,1.647310822154942345e-01
4.353535353535352215e+01,2.032239083974932969e-01
4.393939393939393767e+01,2.519358035321763722e-01
4.434343434343435320e+01,3.138410587762482939e-01
4.474747474747476872e+01,3.928469671149019127e-01
4.515151515151512740e+01,4.941057242222535728e-01
4.555555555555554292e+01,6.244365651452983279e-01
4.595959595959595845e+01,7.928990799959176883e-01
4.636363636363637397e+01,1.011574556834497818e+00
4.676767676767678950e+01,1.296634542379089483e+00
4.717171717171714818e+01,1.669807297015059255e+00
4.757575757575756370e+01,2.160397334120654378e+00
4.797979797979797922e+01,2.808076367516872285e+00
4.838383838383839475e+01,3.666753821942456693e+00
4.878787878787881027e+01,4.809963291196456936e+00
4.919191919191916895e+01,6.338384961001309215e+00
4.959595959595958448e+01,8.390387834648299403e+00
5.000000000000000000e+01,1.115685585090919929e+01
