tem,lacz
1.000000000000000000e+01,1.569228446475349301e+03
1.040404040404041552e+01,1.610749018120212440e+03
1.080808080808083105e+01,1.656792358456633792e+03
1.121212121212118973e+01,1.706398473599648014e+03
1.161616161616160525e+01,1.758412441808186486e+03
1.202020202020202078e+01,1.811616511548534845e+03
1.242424242424243630e+01,1.864851157562291974e+03
1.282828282828285182e+01,1.917103915995428224e+03
1.323232323232321050e+01,1.967558811402606580e+03
1.363636363636362603e+01,2.015610394101999873e+03
1.404040404040404155e+01,2.060852127882275909e+03
1.444444444444445708e+01,2.103049782015340497e+03
1.484848484848487260e+01,2.142108622803749313e+03
1.525252525252523128e+01,2.178040426806001960e+03
1.565656565656564680e+01,2.210933769150398348e+03
1.606060606060606233e+01,2.240929121011735333e+03
1.646464646464647785e+01,2.268199057703044673e+03
1.686868686868689338e+01,2.292933195496627377e+03
1.727272727272725206e+01,2.315327167985591586e+03
1.767676767676766758e+01,2.335574873802312140e+03
1.808080808080808310e+01,2.353863270988375007e+03
1.848484848484849863e+01,2.370369091590007429e+03
1.888888888888891415e+01,2.385256963828977405e+03
1.929292929292927283e+01,2.398678537971427431e+03
1.969696969696968836e+01,2.410772306713250146e+03
2.010101010101010388e+01,2.421663888844673693e+03
2.050505050505051940e+01,2.431466606760771356e+03
2.090909090909087809e+01,2.440282236074442153e+03
2.131313131313129361e+01,2.448201841624633744e+03
2.171717171717170913e+01,2.455306640934400548e+03
2.212121212121212466e+01,2.461668855744092980e+03
2.252525252525254018e+01,2.467352526344276157e+03
2.292929292929295571e+01,2.472414273439179397e+03
2.333333333333331439e+01,2.476903999245085743e+03
2.373737373737372991e+01,2.480865524290575195e+03
2.414141414141414543e+01,2.484337159544061251e+03
2.454545454545456096e+01,2.487352215506347420e+03
2.494949494949491964e+01,2.489939451108878075e+03
2.535353535353533516e+01,2.492123465892580953e+03
2.575757575757575069e+01,2.493925039190512507e+03
2.616161616161616621e+01,2.495361420021823506e+03
2.656565656565658173e+01,2.496446571219265479e+03
2.696969696969699726e+01,2.497191371018595873e+03
2.737373737373735594e+01,2.497603774982196228e+03
2.777777777777777146e+01,2.497688940740712951e+03
2.818181818181818699e+01,2.497449317635649550e+03
2.858585858585860251e+01,2.496884702949878829e+03
2.898989898989896119e+01,2.495992266027647020e+03
2.939393939393937671e+01,2.494766541223758395e+03
2.979797979797979224e+01,2.493199390283994035e+03
3.020202020202020776e+01,2.491279934456846149e+03
3.060606060606062329e+01,2.488994456375922709e+03
3.101010101010103881e+01,2.486326271542995528e+03
3.141414141414139749e+01,2.483255569099579589e+03
3.181818181818181301e+01,2.479759221516482739e+03
3.222222222222222854e+01,2.475810562885708805e+03
3.262626262626264406e+01,2.471379135698348364e+03
3.303030303030300274e+01,2.466430406386836239e+03
3.343434343434341827e+01,2.460925450557037493e+03
3.383838383838383379e+01,2.454820609822401366e+03
3.424242424242424931e+01,2.448067123575783626e+03
3.464646464646466484e+01,2.440610741038750348e+03
3.505050505050508036e+01,2.432391321676178450e+03
3.545454545454543904e+01,2.423342435778101844e+03
3.585858585858585457e+01,2.413390981960011686e+03
3.626262626262627009e+01,2.402456844836351593e+03
3.666666666666668561e+01,2.390452624586093407e+03
3.707070707070704429e+01,2.377283480985475762e+03
3.747474747474745982e+01,2.362847148245142307e+03
3.787878787878787534e+01,2.347034194145087895e+03
3.828282828282829087e+01,2.329728617948159808e+03
3.868686868686870639e+01,2.310808906621483857e+03
3.909090909090912191e+01,2.290149697785721855e+03
3.949494949494948060e+01,2.267624229530701996e+03
3.989898989898989612e+01,2.243107789399577541e+03
4.030303030303031164e+01,2.216482402839476435e+03
4.070707070707072717e+01,2.187643017357277586e+03
4.111111111111108585e+01,2.156505429819274013e+03
4.151515151515150137e+01,2.123016151914650891e+03
4.191919191919191690e+01,2.087164286554133014e+03
4.232323232323233242e+01,2.048995262891481161e+03
4.272727272727274794e+01,2.008625914051813197e+03
4.313131313131310662e+01,1.966259852066151780e+03
4.353535353535352215e+01,1.922201400940879239e+03
4.393939393939393767e+01,1.876865556599651882e+03
4.434343434343435320e+01,1.830780722198053127e+03
4.474747474747476872e+01,1.784580625859352494e+03
4.515151515151512740e+01,1.738982288415385710e+03
4.555555555555554292e+01,1.694748585500545687e+03
4.595959595959595845e+01,1.652636986633059450e+03
4.636363636363637397e+01,1.613340005076610396e+03
4.676767676767678950e+01,1.577426549289308241e+03
4.717171717171714818e+01,1.545295059492407518e+03
4.757575757575756370e+01,1.517147746946239522e+03
4.797979797979797922e+01,1.492990470455160676e+03
4.838383838383839475e+01,1.472656458687931263e+03
4.878787878787881027e+01,1.455846717989189074e+03
4.919191919191916895e+01,1.442177459251964592e+03
4.959595959595958448e+01,1.431225586981891183e+03
5.000000000000000000e+01,1.422566154924278635e+03
