tem,lacz
1.000000000000000000e+01,6.226321337707854120e-01
1.040404040404041552e+01,6.394256307620074242e-01
1.080808080808083105e+01,6.580682503990565868e-01
1.121212121212118973e+01,6.781767656700883329e-01
1.161616161616160525e+01,6.992873721993876357e-01
1.202020202020202078e+01,7.209085986281731362e-01
1.242424242424243630e+01,7.425702187080657213e-01
1.282828282828285182e+01,7.638595408996581293e-01
1.323232323232321050e+01,7.844420035276095104e-01
1.363636363636362603e+01,8.040675173542564114e-01
1.404040404040404155e+01,8.225663564531688898e-01
1.444444444444445708e+01,8.398388343672761325e-01
1.484848484848487260e+01,8.558423079611409134e-01
1.525252525252523128e+01,8.705779654629689501e-01
1.565656565656564680e+01,8.840788314445917617e-01
1.606060606060606233e+01,8.963996464431982503e-01
1.646464646464647785e+01,9.076087744540920488e-01
1.686868686868689338e+01,9.177820068893211003e-01
1.727272727272725206e+01,9.269979994561188263e-01
1.767676767676766758e+01,9.353350401609541453e-01
1.808080808080808310e+01,9.428688597050914888e-01
1.848484848484849863e+01,9.496712323168714498e-01
1.888888888888891415e+01,9.558091593056260438e-01
1.929292929292927283e+01,9.613444706741344215e-01
1.969696969696968836e+01,9.663337180293611883e-01
2.010101010101010388e+01,9.708282634876139738e-01
2.050505050505051940e+01,9.748744943795987217e-01
2.090909090909087809e+01,9.785141130476147087e-01
2.131313131313129361e+01,9.817844658284260451e-01
2.171717171717170913e+01,9.847188863608665743e-01
2.212121212121212466e+01,9.873470364732575000e-01
2.252525252525254018e+01,9.896952337809398204e-01
2.292929292929295571e+01,9.917867593152253081e-01
2.333333333333331439e+01,9.936421414426233056e-01
2.373737373737372991e+01,9.952794143528809201e-01
2.414141414141414543e+01,9.967143507453611884e-01
2.454545454545456096e+01,9.979606692142095614e-01
2.494949494949491964e+01,9.990302173631836480e-01
2.535353535353533516e+01,9.999331319708737453e-01
2.575757575757575069e+01,1.000677977652561390e+00
2.616161616161616621e+01,1.001271865477404877e+00
2.656565656565658173e+01,1.001720552938518694e+00
2.696969696969699726e+01,1.002028526564828770e+00
2.737373737373735594e+01,1.002199068326997233e+00
2.777777777777777146e+01,1.002234306837934019e+00
2.818181818181818699e+01,1.002135254190253510e+00
2.858585858585860251e+01,1.001901829115857456e+00
2.898989898989896119e+01,1.001532866999395921e+00
2.939393939393937671e+01,1.001026117133197335e+00
2.979797979797979224e+01,1.000378227466916181e+00
3.020202020202020776e+01,9.995847169856640901e-01
3.060606060606062329e+01,9.986399357481189343e-01
3.101010101010103881e+01,9.975370125355914608e-01
3.141414141414139749e+01,9.962677900109566664e-01
3.181818181818181301e+01,9.948227472697642737e-01
3.222222222222222854e+01,9.931909096971908157e-01
3.262626262626264406e+01,9.913597461368007790e-01
3.303030303030300274e+01,9.893150535516643806e-01
3.343434343434341827e+01,9.870408296388847313e-01
3.383838383838383379e+01,9.845191342811515645e-01
3.424242424242424931e+01,9.817299413235475170e-01
3.464646464646466484e+01,9.786509830096931095e-01
3.505050505050508036e+01,9.752575905651139632e-01
3.545454545454543904e+01,9.715225359678890671e-01
3.585858585858585457e+01,9.674158820061593556e-01
3.626262626262627009e+01,9.629048504172056377e-01
3.666666666666668561e+01,9.579537213959146147e-01
3.707070707070704429e+01,9.525237822217226258e-01
3.747474747474745982e+01,9.465733483829674721e-01
3.787878787878787534e+01,9.400578875611246277e-01
3.828282828282829087e+01,9.329302853325266431e-01
3.868686868686870639e+01,9.251413015170804055e-01
3.909090909090912191e+01,9.166402776239742645e-01
3.949494949494948060e+01,9.073761683504213416e-01
3.989898989898989612e+01,8.972989825499676497e-01
4.030303030303031164e+01,8.863617295574005572e-01
4.070707070707072717e+01,8.745229719677546365e-01
4.111111111111108585e+01,8.617500807264703022e-01
4.151515151515150137e+01,8.480232650613866996e-01
4.191919191919191690e+01,8.333403978989311067e-01
4.232323232323233242e+01,8.177225639487111231e-01
4.272727272727274794e+01,8.012201088423196449e-01
4.313131313131310662e+01,7.839187535312074351e-01
4.353535353535352215e+01,7.659450608255313764e-01
4.393939393939393767e+01,7.474702284509173733e-01
4.434343434343435320e+01,7.287109052303968326e-01
4.474747474747476872e+01,7.099256072714990040e-01
4.515151515151512740e+01,6.914055167482965336e-01
4.555555555555554292e+01,6.734591372951794774e-01
4.595959595959595845e+01,6.563915067547605453e-01
4.636363636363637397e+01,6.404802419499069366e-01
4.676767676767678950e+01,6.259521250355009059e-01
4.717171717171714818e+01,6.129645751393840714e-01
4.757575757575756370e+01,6.015956802947373117e-01
4.797979797979797922e+01,5.918445270512939782e-01
4.838383838383839475e+01,5.836410371240876582e-01
4.878787878787881027e+01,5.768623972091614371e-01
4.919191919191916895e+01,5.713521979842968168e-01
4.959595959595958448e+01,5.669387086664877673e-01
5.000000000000000000e+01,5.634498719935302491e-01
