tem,volume
1.000000000000000000e+01,1.208113771522865365e+00
1.040404040404041552e+01,1.186103828910062052e+00
1.080808080808083105e+01,1.166028795961072229e+00
1.121212121212118973e+01,1.147753571986358523e+00
1.161616161616160525e+01,1.131138701711327021e+00
1.202020202020202078e+01,1.116045964035283333e+00
1.242424242424243630e+01,1.102342097163808488e+00
1.282828282828285182e+01,1.089901118419853487e+00
1.323232323232321050e+01,1.078605619586067599e+00
1.363636363636362603e+01,1.068347338915045519e+00
1.404040404040404155e+01,1.059027239401280074e+00
1.444444444444445708e+01,1.050555263409434392e+00
1.484848484848487260e+01,1.042849886623921751e+00
1.525252525252523128e+01,1.035837558206706532e+00
1.565656565656564680e+01,1.029452087134269389e+00
1.606060606060606233e+01,1.023634015010528087e+00
1.646464646464647785e+01,1.018330001526611683e+00
1.686868686868689338e+01,1.013492238760013597e+00
1.727272727272725206e+01,1.009077903575844370e+00
1.767676767676766758e+01,1.005048652670627263e+00
1.808080808080808310e+01,1.001370161651954804e+00
1.848484848484849863e+01,9.980117075164582907e-01
1.888888888888891415e+01,9.949457926335152358e-01
1.929292929292927283e+01,9.921478076216266873e-01
1.969696969696968836e+01,9.895957301481614898e-01
2.010101010101010388e+01,9.872698565648903024e-01
2.050505050505051940e+01,9.851525633305840968e-01
2.090909090909087809e+01,9.832280953058212258e-01
2.131313131313129361e+01,9.814823781940060776e-01
2.171717171717170913e+01,9.799028526208666268e-01
2.212121212121212466e+01,9.784783275715307482e-01
2.252525252525254018e+01,9.771988511305463865e-01
2.292929292929295571e+01,9.760555966870367861e-01
2.333333333333331439e+01,9.750407629716288938e-01
2.373737373737372991e+01,9.741474864806644041e-01
2.414141414141414543e+01,9.733697650172037363e-01
2.454545454545456096e+01,9.727023912361731917e-01
2.494949494949491964e+01,9.721408952247434510e-01
2.535353535353533516e+01,9.716814952785682857e-01
2.575757575757575069e+01,9.713210561525335018e-01
2.616161616161616621e+01,9.710570541704115488e-01
2.656565656565658173e+01,9.708875486750934147e-01
2.696969696969699726e+01,9.708111593888956170e-01
2.737373737373735594e+01,9.708270493345589891e-01
2.777777777777777146e+01,9.709349130422693097e-01
2.818181818181818699e+01,9.711349698380724593e-01
2.858585858585860251e+01,9.714279620744106225e-01
2.898989898989896119e+01,9.718151582268736988e-01
2.939393939393937671e+01,9.722983608410205036e-01
2.979797979797979224e+01,9.728799193728187023e-01
3.020202020202020776e+01,9.735627480242019516e-01
3.060606060606062329e+01,9.743503487341761415e-01
3.101010101010103881e+01,9.752468395443750770e-01
3.141414141414139749e+01,9.762569886188923185e-01
3.181818181818181301e+01,9.773862542597135938e-01
3.222222222222222854e+01,9.786408313230349210e-01
3.262626262626264406e+01,9.800277045081604577e-01
3.303030303030300274e+01,9.815547090584216816e-01
3.343434343434341827e+01,9.832305994842024388e-01
3.383838383838383379e+01,9.850651269891046447e-01
3.424242424242424931e+01,9.870691263514893565e-01
3.464646464646466484e+01,9.892546130834668494e-01
3.505050505050508036e+01,9.916348917531738749e-01
3.545454545454543904e+01,9.942246764119341274e-01
3.585858585858585457e+01,9.970402241082170214e-01
3.626262626262627009e+01,1.000099482486805469e+00
3.666666666666668561e+01,1.003422252453134211e+00
3.707070707070704429e+01,1.007030366813707722e+00
3.747474747474745982e+01,1.010947885659887024e+00
3.787878787878787534e+01,1.015201309019588161e+00
3.828282828282829087e+01,1.019819806913407456e+00
3.868686868686870639e+01,1.024835466374180548e+00
3.909090909090912191e+01,1.030283554144963531e+00
3.949494949494948060e+01,1.036202792575831921e+00
3.989898989898989612e+01,1.042635644570816922e+00
4.030303030303031164e+01,1.049628601146821882e+00
4.070707070707072717e+01,1.057232462056081346e+00
4.111111111111108585e+01,1.065502595758861970e+00
4.151515151515150137e+01,1.074499159517324109e+00
4.191919191919191690e+01,1.084287253166080323e+00
4.232323232323233242e+01,1.094936970823014999e+00
4.272727272727274794e+01,1.106523303026704541e+00
4.313131313131310662e+01,1.119125827193532263e+00
4.353535353535352215e+01,1.132828106691164738e+00
4.393939393939393767e+01,1.147716698429599891e+00
4.434343434343435320e+01,1.163879646547550717e+00
4.474747474747476872e+01,1.181404317545431626e+00
4.515151515151512740e+01,1.200374413922203676e+00
4.555555555555554292e+01,1.220865995439703866e+00
4.595959595959595845e+01,1.242942349474063457e+00
4.636363636363637397e+01,1.266647598440195699e+00
4.676767676767678950e+01,1.291999030645419655e+00
4.717171717171714818e+01,1.318978310249219410e+00
4.757575757575756370e+01,1.347521977315133679e+00
4.797979797979797922e+01,1.377511991176179063e+00
4.838383838383839475e+01,1.408767471820944195e+00
4.878787878787881027e+01,1.441039182612951164e+00
4.919191919191916895e+01,1.474008548252270012e+00
4.959595959595958448e+01,1.507292948348685435e+00
5.000000000000000000e+01,1.540458508936206616e+00
