tem,phi2t
1.000000000000000000e+01,1.402980591382738673e-01
1.040404040404041552e+01,1.345632022304686370e-01
1.080808080808083105e+01,1.283494124152007310e-01
1.121212121212118973e+01,1.218208512212279465e-01
1.161616161616160525e+01,1.151371543722884416e-01
1.202020202020202078e+01,1.084419140300834777e-01
1.242424242424243630e+01,1.018558414050873551e-01
1.282828282828285182e+01,9.547415453206074820e-02
1.323232323232321050e+01,8.936711877802942794e-02
1.363636363636362603e+01,8.358255731728282678e-02
1.404040404040404155e+01,7.814932936900201299e-02
1.444444444444445708e+01,7.308105747602235136e-02
1.484848484848487260e+01,6.837965771130054271e-02
1.525252525252523128e+01,6.403843999377896445e-02
1.565656565656564680e+01,6.004469150117629217e-02
1.606060606060606233e+01,5.638174485670399000e-02
1.646464646464647785e+01,5.303057988984782173e-02
1.686868686868689338e+01,4.997102767958840758e-02
1.727272727272725206e+01,4.718264928139288134e-02
1.767676767676766758e+01,4.464535657403185392e-02
1.808080808080808310e+01,4.233983381804778956e-02
1.848484848484849863e+01,4.024780859255699950e-02
1.888888888888891415e+01,3.835221126835586941e-02
1.929292929292927283e+01,3.663725377703389019e-02
1.969696969696968836e+01,3.508845137733841713e-02
2.010101010101010388e+01,3.369260538505135238e-02
2.050505050505051940e+01,3.243776028405584433e-02
2.090909090909087809e+01,3.131314509642644378e-02
2.131313131313129361e+01,3.009493195869948623e-02
2.171717171717170913e+01,2.894524760714634048e-02
2.212121212121212466e+01,2.791789878511236056e-02
2.252525252525254018e+01,2.700313073118374221e-02
2.292929292929295571e+01,2.619234074253087505e-02
2.333333333333331439e+01,2.547797226620804670e-02
2.373737373737372991e+01,2.485341994660028586e-02
2.414141414141414543e+01,2.431294526644434822e-02
2.454545454545456096e+01,2.385160226581344023e-02
2.494949494949491964e+01,2.346517274694664978e-02
2.535353535353533516e+01,2.315011034998535125e-02
2.575757575757575069e+01,2.290349289712231839e-02
2.616161616161616621e+01,2.272298243909135970e-02
2.656565656565658173e+01,2.260679248875180000e-02
2.696969696969699726e+01,2.255366198607241732e-02
2.737373737373735594e+01,2.256283560237971192e-02
2.777777777777777146e+01,2.263405005647694743e-02
2.818181818181818699e+01,2.276752617915554083e-02
2.858585858585860251e+01,2.296396652365589527e-02
2.898989898989896119e+01,2.322455837731481412e-02
2.939393939393937671e+01,2.355098208182292499e-02
2.979797979797979224e+01,2.394542461608028389e-02
3.020202020202020776e+01,2.441059843413038305e-02
3.060606060606062329e+01,2.494976557964777297e-02
3.101010101010103881e+01,2.556676711536476007e-02
3.141414141414139749e+01,2.626605790688057648e-02
3.181818181818181301e+01,2.705274678141128195e-02
3.222222222222222854e+01,2.793264203643799903e-02
3.262626262626264406e+01,2.891230219370945209e-02
3.303030303030300274e+01,2.999909176941429473e-02
3.343434343434341827e+01,3.120124164917080153e-02
3.383838383838383379e+01,3.252791339841883816e-02
3.424242424242424931e+01,3.398926648479617951e-02
3.464646464646466484e+01,3.559652691022602289e-02
3.505050505050508036e+01,3.736205511490992004e-02
3.545454545454543904e+01,3.929941018112121515e-02
3.585858585858585457e+01,4.142340628250258672e-02
3.626262626262627009e+01,4.375015593893743365e-02
3.666666666666668561e+01,4.629709288030894876e-02
3.707070707070704429e+01,4.908296512931306643e-02
3.747474747474745982e+01,5.212778621279572089e-02
3.787878787878787534e+01,5.545272915082243709e-02
3.828282828282829087e+01,5.907994402932706390e-02
3.868686868686870639e+01,6.303227557588311769e-02
3.909090909090912191e+01,6.733285238408867612e-02
3.949494949494948060e+01,7.200451460855018804e-02
3.989898989898989612e+01,7.706904270715360383e-02
4.030303030303031164e+01,8.254614720544606321e-02
4.070707070707072717e+01,8.845218016267858419e-02
4.111111111111108585e+01,9.479853550812833429e-02
4.151515151515150137e+01,1.015897211199090211e-01
4.191919191919191690e+01,1.088211148440038356e-01
4.232323232323233242e+01,1.164764646259695419e-01
4.272727272727274794e+01,1.245252641497705537e-01
4.313131313131310662e+01,1.329202318028579743e-01
4.353535353535352215e+01,1.415952379529380467e-01
4.393939393939393767e+01,1.504641471873784941e-01
4.434343434343435320e+01,1.594211346723745926e-01
4.474747474747476872e+01,1.683430456924515928e-01
4.515151515151512740e+01,1.770942288120563590e-01
4.555555555555554292e+01,1.855339318224945022e-01
4.595959595959595845e+01,1.935258058234180789e-01
4.636363636363637397e+01,2.009484163492059605e-01
4.676767676767678950e+01,2.077051229124768361e-01
4.717171717171714818e+01,2.137315202016982774e-01
4.757575757575756370e+01,2.189990074573371637e-01
4.797979797979797922e+01,2.235139137484988270e-01
4.838383838383839475e+01,2.273126565305192137e-01
4.878787878787881027e+01,2.304542490024559798e-01
4.919191919191916895e+01,2.330118182932220117e-01
4.959595959595958448e+01,2.350646240311358715e-01
5.000000000000000000e+01,2.366915633962161092e-01
