tem,phirt
1.000000000000000000e+01,3.583088468095103618e-01
1.040404040404041552e+01,3.616946122485248938e-01
1.080808080808083105e+01,3.654487953469724992e-01
1.121212121212118973e+01,3.694451180078154318e-01
1.161616161616160525e+01,3.735607828918601214e-01
1.202020202020202078e+01,3.776853334516143690e-01
1.242424242424243630e+01,3.817259136802401143e-01
1.282828282828285182e+01,3.856092776896546948e-01
1.323232323232321050e+01,3.892813740515724819e-01
1.363636363636362603e+01,3.927054147257129646e-01
1.404040404040404155e+01,3.958591995145607223e-01
1.444444444444445708e+01,3.987322489215158194e-01
1.484848484848487260e+01,4.013230885883934951e-01
1.525252525252523128e+01,4.036368644116884452e-01
1.565656565656564680e+01,4.056833552755899630e-01
1.606060606060606233e+01,4.074753821147102384e-01
1.646464646464647785e+01,4.090275757693114245e-01
1.686868686868689338e+01,4.103554507808094831e-01
1.727272727272725206e+01,4.114747294340724837e-01
1.767676767676766758e+01,4.124008641722056723e-01
1.808080808080808310e+01,4.131487133126670042e-01
1.848484848484849863e+01,4.137323326283319225e-01
1.888888888888891415e+01,4.141648526715073775e-01
1.929292929292927283e+01,4.144584181792397848e-01
1.969696969696968836e+01,4.146241713278507324e-01
2.010101010101010388e+01,4.146722650162704138e-01
2.050505050505051940e+01,4.146118958566768486e-01
2.090909090909087809e+01,4.144513492739617111e-01
2.131313131313129361e+01,4.151576729061377535e-01
2.171717171717170913e+01,4.160420509129705846e-01
2.212121212121212466e+01,4.168323241591923023e-01
2.252525252525254018e+01,4.175359963602141011e-01
2.292929292929295571e+01,4.181596850271357413e-01
2.333333333333331439e+01,4.187092029354680944e-01
2.373737373737372991e+01,4.191896311660354701e-01
2.414141414141414543e+01,4.196053839969453025e-01
2.454545454545456096e+01,4.199602660432522616e-01
2.494949494949491964e+01,4.202575220997764593e-01
2.535353535353533516e+01,4.204998801601222413e-01
2.575757575757575069e+01,4.206895880753410699e-01
2.616161616161616621e+01,4.208284442876877862e-01
2.656565656565658173e+01,4.209178230358119888e-01
2.696969696969699726e+01,4.209586943819246252e-01
2.737373737373735594e+01,4.209516393625820641e-01
2.777777777777777146e+01,4.208968605149325248e-01
2.818181818181818699e+01,4.207941879811019636e-01
2.858585858585860251e+01,4.206430813464481777e-01
2.898989898989896119e+01,4.204426273230384981e-01
2.939393939393937671e+01,4.201915333495690463e-01
2.979797979797979224e+01,4.198881171431169124e-01
3.020202020202020776e+01,4.195302922085139552e-01
3.060606060606062329e+01,4.191155492888217204e-01
3.101010101010103881e+01,4.186409337273820364e-01
3.141414141414139749e+01,4.181030187111037799e-01
3.181818181818181301e+01,4.174978743791687430e-01
3.222222222222222854e+01,4.168210328164246303e-01
3.262626262626264406e+01,4.160674490118785318e-01
3.303030303030300274e+01,4.152314579585910659e-01
3.343434343434341827e+01,4.143067282113909178e-01
3.383838383838383379e+01,4.132862124173464213e-01
3.424242424242424931e+01,4.121620956062352348e-01
3.464646464646466484e+01,4.109257423966055645e-01
3.505050505050508036e+01,4.095676447618916138e-01
3.545454545454543904e+01,4.080773726428166270e-01
3.585858585858585457e+01,4.064435305247653951e-01
3.626262626262627009e+01,4.046537241646885885e-01
3.666666666666668561e+01,4.026945430034423734e-01
3.707070707070704429e+01,4.005515654865102193e-01
3.747474747474745982e+01,3.982093965935081803e-01
3.787878787878787534e+01,3.956517493847701017e-01
3.828282828282829087e+01,3.928615853297455218e-01
3.868686868686870639e+01,3.898213315560191683e-01
3.909090909090912191e+01,3.865131968301209753e-01
3.949494949494948060e+01,3.829196117916838782e-01
3.989898989898989612e+01,3.790238222281390179e-01
4.030303030303031164e+01,3.748106661785781113e-01
4.070707070707072717e+01,3.702675651133409684e-01
4.111111111111108585e+01,3.653857544443224747e-01
4.151515151515150137e+01,3.601617665413308633e-01
4.191919191919191690e+01,3.545991568717710152e-01
4.232323232323233242e+01,3.487104269773230736e-01
4.272727272727274794e+01,3.425190432151338227e-01
4.313131313131310662e+01,3.360613760181890286e-01
4.353535353535352215e+01,3.293882943015127296e-01
4.393939393939393767e+01,3.225660560517866760e-01
4.434343434343435320e+01,3.156760649791255924e-01
4.474747474747476872e+01,3.088130554913266490e-01
4.515151515151512740e+01,3.020813748804536125e-01
4.555555555555554292e+01,2.955892941333513879e-01
4.595959595959595845e+01,2.894416970964617253e-01
4.636363636363637397e+01,2.837319949866904389e-01
4.676767676767678950e+01,2.785345267321560070e-01
4.717171717171714818e+01,2.738988349626173546e-01
4.757575757575756370e+01,2.698469203257955473e-01
4.797979797979797922e+01,2.663739143457346525e-01
4.838383838383839475e+01,2.634518036084641524e-01
4.878787878787881027e+01,2.610351933367176525e-01
4.919191919191916895e+01,2.590678318683756198e-01
4.959595959595958448e+01,2.574887502252931615e-01
5.000000000000000000e+01,2.562372582330180171e-01
