tem,phirt
1.000000000000000000e+01,4.623088468095103987e-01
1.040404040404041552e+01,4.656946122485248751e-01
1.080808080808083105e+01,4.694487953469725361e-01
1.121212121212118973e+01,4.734451180078154686e-01
1.161616161616160525e+01,4.775607828918601583e-01
1.202020202020202078e+01,4.816853334516144058e-01
1.242424242424243630e+01,4.857259136802401511e-01
1.282828282828285182e+01,4.896092776896547316e-01
1.323232323232321050e+01,4.932813740515725187e-01
1.363636363636362603e+01,4.967054147257130015e-01
1.404040404040404155e+01,4.998591995145607592e-01
1.444444444444445708e+01,5.027322489215158008e-01
1.484848484848487260e+01,5.053230885883934764e-01
1.525252525252523128e+01,5.076368644116884266e-01
1.565656565656564680e+01,5.096833552755899444e-01
1.606060606060606233e+01,5.114753821147102197e-01
1.646464646464647785e+01,5.130275757693114613e-01
1.686868686868689338e+01,5.143554507808094645e-01
1.727272727272725206e+01,5.154747294340724650e-01
1.767676767676766758e+01,5.164008641722057646e-01
1.808080808080808310e+01,5.171487133126670965e-01
1.848484848484849863e+01,5.177323326283318483e-01
1.888888888888891415e+01,5.181648526715074699e-01
1.929292929292927283e+01,5.184584181792397661e-01
1.969696969696968836e+01,5.186241713278507692e-01
2.010101010101010388e+01,5.186722650162705062e-01
2.050505050505051940e+01,5.186118958566767745e-01
2.090909090909087809e+01,5.184513492739617480e-01
2.131313131313129361e+01,5.191576729061377904e-01
2.171717171717170913e+01,5.200420509129706215e-01
2.212121212121212466e+01,5.208323241591923392e-01
2.252525252525254018e+01,5.215359963602141935e-01
2.292929292929295571e+01,5.221596850271357226e-01
2.333333333333331439e+01,5.227092029354680758e-01
2.373737373737372991e+01,5.231896311660355625e-01
2.414141414141414543e+01,5.236053839969452284e-01
2.454545454545456096e+01,5.239602660432522985e-01
2.494949494949491964e+01,5.242575220997764962e-01
2.535353535353533516e+01,5.244998801601221672e-01
2.575757575757575069e+01,5.246895880753410513e-01
2.616161616161616621e+01,5.248284442876878231e-01
2.656565656565658173e+01,5.249178230358120256e-01
2.696969696969699726e+01,5.249586943819246621e-01
2.737373737373735594e+01,5.249516393625821564e-01
2.777777777777777146e+01,5.248968605149324507e-01
2.818181818181818699e+01,5.247941879811020005e-01
2.858585858585860251e+01,5.246430813464482146e-01
2.898989898989896119e+01,5.244426273230384794e-01
2.939393939393937671e+01,5.241915333495690277e-01
2.979797979797979224e+01,5.238881171431168937e-01
3.020202020202020776e+01,5.235302922085138810e-01
3.060606060606062329e+01,5.231155492888217573e-01
3.101010101010103881e+01,5.226409337273820732e-01
3.141414141414139749e+01,5.221030187111037613e-01
3.181818181818181301e+01,5.214978743791687243e-01
3.222222222222222854e+01,5.208210328164246672e-01
3.262626262626264406e+01,5.200674490118786242e-01
3.303030303030300274e+01,5.192314579585910472e-01
3.343434343434341827e+01,5.183067282113908991e-01
3.383838383838383379e+01,5.172862124173465137e-01
3.424242424242424931e+01,5.161620956062351606e-01
3.464646464646466484e+01,5.149257423966056013e-01
3.505050505050508036e+01,5.135676447618915397e-01
3.545454545454543904e+01,5.120773726428167194e-01
3.585858585858585457e+01,5.104435305247654320e-01
3.626262626262627009e+01,5.086537241646886809e-01
3.666666666666668561e+01,5.066945430034424103e-01
3.707070707070704429e+01,5.045515654865102562e-01
3.747474747474745982e+01,5.022093965935081616e-01
3.787878787878787534e+01,4.996517493847701386e-01
3.828282828282829087e+01,4.968615853297455032e-01
3.868686868686870639e+01,4.938213315560192052e-01
3.909090909090912191e+01,4.905131968301210121e-01
3.949494949494948060e+01,4.869196117916839150e-01
3.989898989898989612e+01,4.830238222281390548e-01
4.030303030303031164e+01,4.788106661785780926e-01
4.070707070707072717e+01,4.742675651133409498e-01
4.111111111111108585e+01,4.693857544443224561e-01
4.151515151515150137e+01,4.641617665413308447e-01
4.191919191919191690e+01,4.585991568717710520e-01
4.232323232323233242e+01,4.527104269773230549e-01
4.272727272727274794e+01,4.465190432151338595e-01
4.313131313131310662e+01,4.400613760181890100e-01
4.353535353535352215e+01,4.333882943015127664e-01
4.393939393939393767e+01,4.265660560517867128e-01
4.434343434343435320e+01,4.196760649791256292e-01
4.474747474747476872e+01,4.128130554913266859e-01
4.515151515151512740e+01,4.060813748804536494e-01
4.555555555555554292e+01,3.995892941333513693e-01
4.595959595959595845e+01,3.934416970964617621e-01
4.636363636363637397e+01,3.877319949866904758e-01
4.676767676767678950e+01,3.825345267321559883e-01
4.717171717171714818e+01,3.778988349626173915e-01
4.757575757575756370e+01,3.738469203257955287e-01
4.797979797979797922e+01,3.703739143457346894e-01
4.838383838383839475e+01,3.674518036084641337e-01
4.878787878787881027e+01,3.650351933367176893e-01
4.919191919191916895e+01,3.630678318683756012e-01
4.959595959595958448e+01,3.614887502252931983e-01
5.000000000000000000e+01,3.602372582330180539e-01
