groe,phi2
1.255130655970815648e-02,6.786213986047781588e-02
1.022544464524008899e-02,5.484923960727787484e-02
1.343788420490180449e-02,6.022356273468158078e-02
1.862915516824083587e-02,6.654260177573960433e-02
7.457688101572106099e-02,1.459958384305683476e-01
1.135162581570289299e-02,5.865500807403169203e-02
1.093577522412158068e-02,5.227758344051212230e-02
1.666495158744378882e-02,6.011193085216153670e-02
1.411602645775704955e-02,6.123724511168193718e-02
1.437448225873265255e-02,5.850592947358103368e-02
1.701432543573506984e-02,5.334563434748825633e-02
