tag,phi2,phic,gr
C2,0.039868201427000004,0.017342671486,0.91
C3,0.04109572936400001,0.017351047819,0.77
C4,0.04086893481,0.01755337389,0.69
C5,0.039518908442,0.017494662742,0.56
C6,0.038049155718,0.017430876508,0.48
C7,0.038463334461,0.017160442042999997,0.35
C8,0.04092227121400001,0.017245521294,0.72
D6,0.040993053768,0.018363466738,0.56
D7,0.03884968178,0.017479370159999997,0.33
D8,0.03925510965199999,0.018236397772,0.49
F4,0.039610236711999994,0.018095325602000004,0.81
F5,0.03921668031600001,0.017898052666,0.71
F6,0.039524001843000006,0.018278641233,0.55
F7,0.03937888507100001,0.017829479890999998,0.5
F8,0.039129526542,0.017325567832,0.34
