gr,phi2
0.000000000000000000e+00,1.841359194479172748e-02
2.020202020202020374e-02,2.486913205357289131e-02
4.040404040404040747e-02,2.754310431907353723e-02
6.060606060606060774e-02,2.959491540349942079e-02
8.080808080808081495e-02,3.132467216235405860e-02
1.010101010101010222e-01,3.284861845950279996e-02
1.212121212121212155e-01,3.422637122537659088e-02
1.414141414141414366e-01,3.549334565122954505e-02
1.616161616161616299e-01,3.667261669335534352e-02
1.818181818181818232e-01,3.778021227113521896e-02
2.020202020202020443e-01,3.882780221511135388e-02
2.222222222222222376e-01,3.982419630470893090e-02
2.424242424242424310e-01,4.077623886220711757e-02
2.626262626262626521e-01,4.168937281781659454e-02
2.828282828282828731e-01,4.256801127842822774e-02
3.030303030303030387e-01,4.341579127687519163e-02
3.232323232323232598e-01,4.423575237991637932e-02
3.434343434343434809e-01,4.503046568370779046e-02
3.636363636363636465e-01,4.580212906763714981e-02
3.838383838383838675e-01,4.655263890494239221e-02
4.040404040404040886e-01,4.728364497421386897e-02
4.242424242424242542e-01,4.799659314510486968e-02
4.444444444444444753e-01,4.869275900919115690e-02
4.646464646464646964e-01,4.937327469849405598e-02
4.848484848484848619e-01,5.003915050596145775e-02
5.050505050505050830e-01,5.069129248869755355e-02
5.252525252525253041e-01,5.133051693024777429e-02
5.454545454545455252e-01,5.195756232091480742e-02
5.656565656565657463e-01,5.257309935766736608e-02
5.858585858585858563e-01,5.317773934964530047e-02
6.060606060606060774e-01,5.377204132937969672e-02
6.262626262626262985e-01,5.435651810528333017e-02
6.464646464646465196e-01,5.493164144191896303e-02
6.666666666666667407e-01,5.549784651692404869e-02
6.868686868686869618e-01,5.605553577433909640e-02
7.070707070707071829e-01,5.660508227134067316e-02
7.272727272727272929e-01,5.714683259747871391e-02
7.474747474747475140e-01,5.768110943132308266e-02
7.676767676767677351e-01,5.820821378809019897e-02
7.878787878787879562e-01,5.872842700271067862e-02
8.080808080808081773e-01,5.924201248543098375e-02
8.282828282828283983e-01,5.974921728104828911e-02
8.484848484848485084e-01,6.025027345797412393e-02
8.686868686868687295e-01,6.074539934929006069e-02
8.888888888888889506e-01,6.123480066462613780e-02
9.090909090909091717e-01,6.171867148892494492e-02
9.292929292929293927e-01,6.219719518184596563e-02
9.494949494949496138e-01,6.267054518963077747e-02
9.696969696969697239e-01,6.313888577962249726e-02
9.898989898989899450e-01,6.360237270625987427e-02
1.010101010101010166e+00,6.406115381620076932e-02
1.030303030303030498e+00,6.451536959924013270e-02
1.050505050505050608e+00,6.496515369084146507e-02
1.070707070707070718e+00,6.541063333137650537e-02
1.090909090909091050e+00,6.585192978654631768e-02
1.111111111111111160e+00,6.628915873291996164e-02
1.131313131313131493e+00,6.672243061206471759e-02
1.151515151515151603e+00,6.715185095633924295e-02
1.171717171717171713e+00,6.757752068907307841e-02
1.191919191919192045e+00,6.799953640155141643e-02
1.212121212121212155e+00,6.841799060895865925e-02
1.232323232323232487e+00,6.883297198720222942e-02
1.252525252525252597e+00,6.924456559233367614e-02
1.272727272727272929e+00,6.965285306410516630e-02
1.292929292929293039e+00,7.005791281504103463e-02
1.313131313131313149e+00,7.045982020626473386e-02
1.333333333333333481e+00,7.085864771119770866e-02
1.353535353535353591e+00,7.125446506813740144e-02
1.373737373737373924e+00,7.164733942262385691e-02
1.393939393939394034e+00,7.203733546041808655e-02
1.414141414141414366e+00,7.242451553183811008e-02
1.434343434343434476e+00,7.280893976812902180e-02
1.454545454545454586e+00,7.319066619048257560e-02
1.474747474747474918e+00,7.356975081226553581e-02
1.494949494949495028e+00,7.394624773496703829e-02
1.515151515151515360e+00,7.432020923833020098e-02
1.535353535353535470e+00,7.469168586509304653e-02
1.555555555555555580e+00,7.506072650072791175e-02
1.575757575757575912e+00,7.542737844853501794e-02
1.595959595959596022e+00,7.579168750041734293e-02
1.616161616161616355e+00,7.615369800363601394e-02
1.636363636363636465e+00,7.651345292382219498e-02
1.656565656565656797e+00,7.687099390449868286e-02
1.676767676767676907e+00,7.722636132334448344e-02
1.696969696969697017e+00,7.757959434541801536e-02
1.717171717171717349e+00,7.793073097353703238e-02
1.737373737373737459e+00,7.827980809599907608e-02
1.757575757575757791e+00,7.862686153181185078e-02
1.777777777777777901e+00,7.897192607359058980e-02
1.797979797979798233e+00,7.931503552826786596e-02
1.818181818181818343e+00,7.965622275575059974e-02
1.838383838383838453e+00,7.999551970564938719e-02
1.858585858585858785e+00,8.033295745219638795e-02
1.878787878787878896e+00,8.066856622745974259e-02
1.898989898989899228e+00,8.100237545295504993e-02
1.919191919191919338e+00,8.133441376974741288e-02
1.939393939393939448e+00,8.166470906713117761e-02
1.959595959595959780e+00,8.199328850996877305e-02
1.979797979797979890e+00,8.232017856476436801e-02
2.000000000000000000e+00,8.264540502454333082e-02
