theoretical,sample,upper,lower
-0.16177800177194124,-0.18891589379212095,-0.1586797413230515,-0.164876262220831
-0.1273173624634118,-0.1544198682621798,-0.12203688500322471,-0.1325978399235989
-0.10870445686204072,-0.09708637641507312,-0.10200007633042504,-0.1154088373936564
-0.09515349894426696,-0.08860358944694346,-0.08735638113544525,-0.10295061675308867
-0.08416906777249128,-0.07139947773797792,-0.07548445922383716,-0.0928536763211454
-0.07474274208392932,-0.059731716992795225,-0.06531772978320304,-0.08416775438465561
-0.06635924007456179,-0.05637397972339486,-0.05630835256145622,-0.07641012758766735
-0.05871655395257655,-0.0468858469927953,-0.04813397985927888,-0.06929912804587422
-0.05162049107537043,-0.042448253488182486,-0.04058679446970183,-0.06265418768103903
-0.04493729579288443,-0.034155772878331936,-0.0335234840352583,-0.05635110755051055
-0.03856963310178224,-0.03407496699279522,-0.02683980835467369,-0.0502994578488908
-0.03244326722415078,-0.02246469087833214,-0.02045646072433566,-0.0444300737239659
-0.02649911919203315,-0.018596680488182527,-0.014310627766228486,-0.03868761061783782
-0.02068822482134917,-0.013822455219662189,-0.008350633155363798,-0.03302581648733455
-0.01496833519858419,-0.005585648603440907,-0.0025323364569051106,-0.02740433394026327
-0.009301471754924465,0.0009363007803377954,0.003183439658308293,-0.021786383168157224
-0.003652029746510307,0.00401448455305653,0.008832881666722452,-0.016136941159743064
0.002014833697149416,0.004609353615192373,0.014450832438828495,-0.010421165044529664
0.0077347233199143986,0.02047416026202209,0.020072314985899772,-0.004602868346070974
0.013545617690598376,0.02153173138386366,0.02573410911640304,0.0013571262647937114
0.019489765722716004,0.022737744548467054,0.03147657222253113,0.007502959222900885
0.025616131600347467,0.025828195704700074,0.03734595634745602,0.013886306853238915
0.03198379429144965,0.029266067553056496,0.043397606049075776,0.020569982533823524
0.038666989573935655,0.030128187871156564,0.049700686179604256,0.027633292968267057
0.045763052451141775,0.032453417051653013,0.05634562654443945,0.0351804783578441
0.05340573857312701,0.03269257412166793,0.06345662608623258,0.043354851060021446
0.061789240582494555,0.03370317339655915,0.07121425288322084,0.05236422828176827
0.07121556627105652,0.04107692969500054,0.07990017481971064,0.0625309577224024
0.0821999974428322,0.04186807738386367,0.08999711525165391,0.07440287963401049
0.09575095536060596,0.07440407740648336,0.10245533589222164,0.08904657482899028
0.11436386096197704,0.09661163178033783,0.11964433842216413,0.10908338350178995
0.14882450027050648,0.21497308678183358,0.15192276071939623,0.14572623982161673
