gr,phi2
1.899999999999999911e+00,8.114635004462224244e-02
1.270000000000000018e+00,6.880369425231258607e-02
2.999999999999999889e-01,4.232467716173073796e-02
4.199999999999999845e-01,5.001253613384119140e-02
2.600000000000000089e-01,4.101071624894203627e-02
5.799999999999999600e-01,5.249167104926272254e-02
4.600000000000000200e-01,4.911873366444789724e-02
4.699999999999999734e-01,5.226097029179375963e-02
4.000000000000000222e-01,4.757431425445661499e-02
4.400000000000000022e-01,5.229508306970135495e-02
6.500000000000000222e-01,4.961612959636088616e-02
4.699999999999999734e-01,5.137470354099423625e-02
5.500000000000000444e-01,5.197639150079971793e-02
5.000000000000000000e-01,4.549911112753702441e-02
3.499999999999999778e-01,4.392658246345591821e-02
2.000000000000000111e-01,4.038413163907583758e-02
1.199999999999999956e-01,3.873773024957465755e-02
