groe,phi2
9.932409144276859239e-03,5.249167104926272254e-02
1.909063923634322577e-02,8.114635004462224244e-02
1.869205185904687649e-02,6.880369425231258607e-02
1.054507812377399045e-02,4.232467716173073796e-02
1.289486275865006637e-02,5.001253613384119140e-02
1.090329166570680117e-02,4.911873366444789724e-02
1.254675743811620690e-02,5.226097029179375963e-02
1.129841558297030660e-02,4.757431425445661499e-02
1.177649831756328452e-02,4.549911112753702441e-02
1.197596860720233011e-02,4.392658246345591821e-02
1.039467581878915879e-02,4.038413163907583758e-02
1.079726139824881484e-02,3.873773024957465755e-02
1.195041761027336967e-02,5.197639150079971793e-02
1.266076209130512394e-02,5.137470354099423625e-02
8.767158497619172153e-03,4.101071624894203627e-02
1.305220414220138389e-02,5.229508306970135495e-02
1.039410972474063069e-02,4.961612959636088616e-02
2.083604678091233869e-02,7.804315748654117035e-02
2.002456188792182262e-02,7.549957178293673077e-02
1.034877167181446830e-02,5.302686100794346685e-02
2.763005320620817371e-02,8.117295955830945708e-02
1.179848214538880419e-02,6.069819384513033822e-02
