usedRP,phir
1.343692501667367589e-01,2.621446260171556020e-01
1.750724717405694464e-01,3.810747387062862201e-01
1.473560837905202869e-01,3.020024536511759505e-01
9.466729265203710497e-02,1.683849190437305687e-01
1.123352783605595095e-01,2.085267727954412953e-01
1.060223128924157598e-01,2.125052524635869522e-01
1.140335710756804899e-01,2.251818537539324316e-01
1.119815149766447415e-01,2.031138859711667799e-01
1.055179458172940954e-01,2.115052452121530258e-01
9.309257907375718955e-02,1.755516327948292987e-01
8.655026914883273692e-02,1.619625701930458295e-01
8.422846576540628238e-02,1.546258529839154294e-01
1.215215714867136781e-01,2.460858740929790511e-01
1.093149485627895462e-01,2.087046373340850081e-01
9.505726786504301029e-02,1.779057632914905762e-01
1.151976022273389355e-01,2.197474955845825639e-01
1.239284007078236410e-01,2.557535997145169993e-01
8.911009212833634341e-02,1.857958148842512869e-01
8.911254062162234091e-02,1.854019475881852896e-01
1.141717953066574281e-01,2.253955923452980181e-01
1.277944844547753145e-01,2.557433773135863730e-01
1.051154554250054024e-01,2.205037019725424041e-01
