gr,phi2,phi3
1.9,0.08114635004462224,0.014655219093164215
1.27,0.06880369425231259,0.021425680687483857
0.3,0.04232467716173074,0.014509313209361739
0.42,0.05001253613384119,0.015953502288795593
0.26,0.041010716248942036,0.014257405899076595
0.58,0.05249167104926272,0.01708381527029163
0.46,0.0491187336644479,0.015079140781276883
0.47,0.05226097029179376,0.016430321974013347
0.4,0.047574314254456615,0.015035818052776368
0.44,0.052295083069701355,0.01571603208071973
0.65,0.049616129596360886,0.015771510380219383
0.47,0.051374703540994236,0.016020708149066046
0.55,0.05197639150079972,0.017231419631720573
0.5,0.045499111127537024,0.015291802854908386
0.35,0.04392658246345592,0.014254460517919084
0.2,0.04038413163907584,0.014204164320604399
0.12,0.03873773024957466,0.013098878233820879
